鑽孔編號,TWD97_X,TWD97_Y,上限深度(公尺),下限深度(公尺),water_depth(m),N_value,統一土壤分類,統體單位重(t/m3),含水量(%),細料(%),塑性指數(%),取樣編號,粉土(%),黏土(%),砂土(%),礫石(%),SDS,SMS,基準Mw,資料來源,城市,GWT_CSR,N,Density,土層深度,土層厚度,土層中點深度,分析點深度,FC,累計sigmav,sigma_v_CSR,sigma_v_CRR,Vs,d/v,Vs30,地盤分類,_vs30,N_60,N1_60,N1_60cs,CRR_7_5,Mw_Design,A_value_Design,SD_S_Design,SM_S_Design,MSF_Design,rd_Design,CSR_Design,CRR_Design,FS_Design,Mw_MidEq,A_value_MidEq,SD_S_MidEq,SM_S_MidEq,MSF_MidEq,rd_MidEq,CSR_MidEq,CRR_MidEq,FS_MidEq,Mw_MaxEq,A_value_MaxEq,SD_S_MaxEq,SM_S_MaxEq,MSF_MaxEq,rd_MaxEq,CSR_MaxEq,CRR_MaxEq,FS_MaxEq,LPI_Design,LPI_MidEq,LPI_MaxEq,基準地震規模Mw,使用SDS,使用SMS
811674011121415_10KS-DSS002,183255.72,2515058.12,4.05,4.5,4.47,7.0,CL,17.5,31.3,,25.0,S-3-3,26.0,35.0,27.0,12.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,7.0,17.5,5.125,5.125,2.563,4.797,61.0,83.956,83.629,83.62874999999998,191.29,0.027,190.07,第二類地盤,190.07,8.4,9.185,16.022,0.17,7.1,0.368,0.919,1.197,1.151,0.953,0.229,0.196,0.855,6.9,0.088,0.919,1.197,1.238,0.953,0.054,0.21,3.0,7.3,0.479,0.919,1.197,1.072,0.953,0.298,0.182,0.612,5.649,0.0,15.115,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,5.75,6.2,4.47,5.0,SM,18.8,25.0,,,S-4-3,26.0,9.0,65.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,5.0,18.8,6.825,1.7,5.975,5.975,35.0,105.667,104.162,104.1625,136.8,0.012,190.07,第二類地盤,190.07,6.0,5.879,12.015,0.131,7.1,0.368,0.919,1.197,1.151,0.94,0.228,0.151,0.662,6.9,0.088,0.919,1.197,1.238,0.94,0.054,0.162,2.989,7.3,0.479,0.919,1.197,1.072,0.94,0.297,0.14,0.473,4.029,0.0,6.282,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,7.45,7.9,4.47,5.0,CL,19.1,31.5,,26.0,S-5-3,58.0,41.0,1.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,5.0,19.1,8.525,1.7,7.675,7.675,99.0,137.882,134.677,134.67749999999998,171.0,0.01,190.07,第二類地盤,190.07,6.0,5.17,11.204,0.124,7.1,0.368,0.919,1.197,1.151,0.916,0.224,0.143,0.637,6.9,0.088,0.919,1.197,1.238,0.916,0.053,0.154,2.877,7.3,0.479,0.919,1.197,1.072,0.916,0.292,0.133,0.455,3.803,0.0,5.71,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,9.15,9.6,4.47,5.0,CL,18.3,27.9,,17.0,S-6-3,46.0,53.0,1.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,5.0,18.3,9.825,1.3,9.175,9.175,99.0,166.012,161.307,161.30749999999998,171.0,0.008,190.07,第二類地盤,190.07,6.0,4.724,10.669,0.119,7.1,0.368,0.919,1.197,1.151,0.888,0.218,0.137,0.627,6.9,0.088,0.919,1.197,1.238,0.888,0.052,0.147,2.833,7.3,0.479,0.919,1.197,1.072,0.888,0.284,0.128,0.448,2.625,0.0,3.884,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,10.05,10.5,4.47,6.0,CL,18.3,30.1,,22.0,S-7-3,55.0,43.0,2.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,6.0,18.3,11.025,1.2,10.425,10.425,98.0,188.887,182.932,182.93249999999998,181.71,0.007,190.07,第二類地盤,190.07,7.2,5.323,11.388,0.126,7.1,0.368,0.919,1.197,1.151,0.858,0.212,0.145,0.685,6.9,0.088,0.919,1.197,1.238,0.858,0.05,0.156,3.0,7.3,0.479,0.919,1.197,1.072,0.858,0.276,0.135,0.49,1.81,0.0,2.93,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,11.55,12.0,4.47,2.0,CL,16.0,27.3,,11.0,S-8-3,31.0,28.0,41.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,2.0,16.0,12.525,1.5,11.775,11.775,59.0,211.867,204.562,204.56249999999997,125.99,0.012,190.07,第二類地盤,190.07,2.4,1.678,7.014,0.088,7.1,0.368,0.919,1.197,1.151,0.819,0.203,0.101,0.499,6.9,0.088,0.919,1.197,1.238,0.819,0.048,0.109,2.256,7.3,0.479,0.919,1.197,1.072,0.819,0.264,0.094,0.357,3.091,0.0,3.967,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,13.05,13.5,4.47,3.0,CL,19.2,29.3,,15.0,S-9-3,23.0,32.0,45.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,3.0,19.2,14.025,1.5,13.275,13.275,55.0,238.267,229.462,229.46249999999998,144.22,0.01,190.07,第二類地盤,190.07,3.6,2.377,7.852,0.095,7.1,0.368,0.919,1.197,1.151,0.77,0.191,0.109,0.572,6.9,0.088,0.919,1.197,1.238,0.77,0.045,0.118,2.586,7.3,0.479,0.919,1.197,1.072,0.77,0.249,0.102,0.409,2.159,0.0,2.981,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,14.55,15.0,4.47,13.0,SM,20.7,34.2,,,S-10-3,21.0,5.0,74.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,13.0,20.7,15.525,1.5,14.775,14.775,26.0,268.192,257.887,257.8875,188.11,0.008,190.07,第二類地盤,190.07,15.6,9.714,15.293,0.163,7.1,0.368,0.919,1.197,1.151,0.718,0.178,0.188,1.051,6.9,0.088,0.919,1.197,1.238,0.718,0.042,0.202,3.0,7.3,0.479,0.919,1.197,1.072,0.718,0.232,0.175,0.752,0.0,0.0,0.972,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,16.05,16.5,4.47,14.0,SM,19.2,24.9,,,S-11-3,13.0,6.0,81.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,14.0,19.2,17.025,1.5,16.275,16.275,19.0,298.117,286.312,286.31249999999994,192.81,0.008,190.07,第二類地盤,190.07,16.8,9.929,14.086,0.151,7.1,0.368,0.919,1.197,1.151,0.668,0.166,0.174,1.045,6.9,0.088,0.919,1.197,1.238,0.668,0.04,0.187,3.0,7.3,0.479,0.919,1.197,1.072,0.668,0.217,0.162,0.747,0.0,0.0,0.707,7.1,0.919,1.197
811674011121415_10KS-DSS002,183255.72,2515058.12,17.55,18.0,4.47,17.0,CL-ML,19.1,26.8,,7.0,S-12-3,52.0,19.0,29.0,0.0,0.919,1.197,7.1,斷層距離參數 (r=<=1~3),高雄市,4.47,17.0,19.1,18.525,1.5,17.775,17.775,71.0,326.842,313.537,313.53749999999997,NG,,190.07,第二類地盤,190.07,20.4,11.521,18.825,0.201,7.1,0.368,0.919,1.197,1.151,0.625,0.156,0.231,1.486,6.9,0.088,0.919,1.197,1.238,0.625,0.037,0.249,3.0,7.3,0.479,0.919,1.197,1.072,0.625,0.203,0.215,1.062,0.0,0.0,0.0,7.1,0.919,1.197
